symbol_a,symbol_b,group,distance,beta,alpha,coint_p,bh_bar,bh_pass,hurst,half_life,sigma_bps,crossings,lots_a,lots_b,notional_a,notional_b,beta_effective,lot_error,lot_size_known,min_notional_for_lot_gate,cost_hard_bps,cost_allin_low_bps,cost_allin_high_bps,cost_coverage,z_today,gate_sigma,gate_half_life,gate_hurst,gate_lot,admitted,mwpl_ban_screen,event_screen
AXISBANK,HDFCBANK,optics-1,24.636736926382984,-0.15112408188614354,8.159723092809035,0.08808085559167256,0.018518518518518517,False,0.5221269449454811,15.78781262350068,625.4057198533545,16,1.0,1.0,790625.0,468194.99999999994,-0.592183399209486,2.918524379560071,True,2800000.0,9.79192790513834,13.533558893280631,21.49447588932806,58.192227907624066,-0.3605569435260468,True,False,False,False,False,unchecked,unchecked
AXISBANK,ICICIBANK,optics-1,14.890421167740032,-0.09950224518914112,7.854292642788674,0.08582615164247137,0.016666666666666666,False,0.5190541968002677,16.887020486468288,647.7646375142364,18,1.0,1.0,790625.0,995960.0,-1.259712252964427,11.660138980481033,True,9100000.0,13.897230355731224,19.207554150197627,30.50611541501976,42.46785463843803,0.16918293553827518,True,False,False,False,False,unchecked,unchecked
AXISBANK,KOTAKBANK,optics-1,8.446133966870823,0.0933906832019713,6.576373360478814,0.10277272954928418,0.022222222222222227,False,0.5173008082534849,18.552416333541316,647.285404417595,22,1.0,1.0,790625.0,847400.0,1.0718102766798419,10.476629573015245,True,8400000.0,12.741633201581028,17.610387351778655,27.969438735177864,46.2851908146078,0.02365883426079705,True,False,False,False,False,unchecked,unchecked
BAJAJ-AUTO,EICHERMOT,optics-0,3.723758044578808,0.9891279164962025,0.38707686565830846,0.39364722891066706,0.037037037037037035,False,0.4715930541279596,16.954438410217552,559.078547830436,22,1.0,1.0,893250.0,805900.0,0.9022110271480549,0.08787224371953237,True,100000.0,11.698597816960538,16.168793730758466,25.67984886649874,43.54219923465323,1.8119364524141217,True,False,True,True,False,unchecked,unchecked
BAJAJ-AUTO,HEROMOTOCO,optics-0,4.324935189863707,-0.2643771006383845,11.445549643148093,0.8884612034166441,0.0851851851851852,False,0.48431114943241177,46.07002786674602,783.7149594902261,13,1.0,1.0,893250.0,840000.0,-0.9403862300587741,2.5569882103557684,True,5900000.0,11.933375314861461,16.49328295549958,26.195214105793447,59.83649962356263,2.823684392976678,True,False,True,False,False,unchecked,unchecked
BAJAJ-AUTO,M&M,optics-0,7.940580778131541,-0.3724207406657889,12.19909615181672,0.8198012440553637,0.07777777777777778,False,0.47732145207562593,32.60200824531345,757.4991317763905,17,1.0,1.0,893250.0,666800.0,-0.7464875454799889,1.004419904609685,True,1400000.0,10.740898404701932,14.845144136579906,23.577581863979848,64.25587968659703,2.733835055530326,True,False,True,False,False,unchecked,unchecked
BAJAJ-AUTO,MARUTI,optics-0,8.21644223998708,-0.4333712644299243,13.329398805535385,0.4312851473540724,0.04444444444444445,False,0.5017208664239433,24.347582731187174,704.3345703207675,17,1.0,1.0,893250.0,668800.0,-0.7487265603134621,0.7276792943306245,True,4100000.0,10.754668345927792,14.864175762664427,23.60780856423174,59.669627395056644,2.4603282921086924,True,False,False,False,False,unchecked,unchecked
EICHERMOT,HEROMOTOCO,optics-0,6.623642534749845,0.1542819225190806,7.5569233980238595,0.09091932508687295,0.020370370370370372,False,0.4641248410985288,13.026451425016907,574.1311721612594,21,1.0,1.0,805900.0,840000.0,1.0423129420523638,5.755898066563549,True,5300000.0,12.56022459362204,17.359660007445093,27.571224717706915,41.647128703175696,1.847798168098965,True,False,True,False,False,unchecked,unchecked
EICHERMOT,M&M,optics-0,14.828759990533001,0.02074776076379349,8.714320643556928,0.06484644078837061,0.011111111111111113,False,0.46231813759863427,11.859663258836367,583.1436299341532,25,1.0,1.0,805900.0,666800.0,0.8273979401910907,38.87890305902151,True,29500000.0,11.238497332175209,15.532882491624271,24.669872192579724,47.27577227656273,1.9192488133591654,True,False,True,False,False,unchecked,unchecked
EICHERMOT,MARUTI,optics-0,13.022012519012307,-0.046697706127598174,9.330713695565628,0.05123500111668266,0.005555555555555557,False,0.46854025677867794,11.093100676832092,581.8455701490386,23,1.0,1.0,805900.0,668800.0,-0.8298796376721678,16.771314835135165,True,13300000.0,11.253759771683832,15.553976920213426,24.703375108574264,47.10656479867697,1.8478462886769655,True,False,True,False,False,unchecked,unchecked
GRASIM,HDFCLIFE,optics-2,13.551494315706503,-0.28825858989367525,9.843124795312756,0.31412679121548814,0.03518518518518519,False,0.4160950537002926,13.430256202633352,492.218441901556,22,1.0,1.0,822500.0,602800.0,-0.7328875379939209,1.5424655628276263,True,3800000.0,10.657258358662613,14.729544072948327,23.39398176291793,42.08077503777292,1.4903153538952156,True,False,True,False,False,unchecked,unchecked
GRASIM,HINDALCO,optics-2,22.6739510836555,0.26492143073068103,6.1633325021467655,0.8452876868072673,0.08333333333333333,False,0.4264403998031553,27.36777311380262,528.4828575373724,10,1.0,1.0,822500.0,726180.0000000001,0.8828936170212768,2.332662120184705,True,5400000.0,11.579795744680853,16.004595744680852,25.419063829787238,41.581614576857206,1.8083965070972052,True,False,True,False,False,unchecked,unchecked
GRASIM,JSWSTEEL,optics-2,3.6812184886775077,0.6842101640906045,3.1182783329914345,0.6136982701318975,0.06296296296296297,False,0.43142276052320816,23.34878603623029,474.21090599495295,12,1.0,1.0,822500.0,901057.5000000001,1.0955106382978725,0.6011317805457254,True,2100000.0,12.887390425531915,17.811840425531916,28.289393617021275,33.52570312497811,1.1887045222591461,True,False,True,False,False,unchecked,unchecked
GRASIM,LT,optics-2,2.1297799996870443,0.48229530304895923,3.9772269966690135,0.900135264908317,0.0888888888888889,False,0.419227082431823,51.453039835437586,568.9348977658594,6,1.0,1.0,822500.0,708015.0,0.8608085106382979,0.7848162841239916,True,3800000.0,11.443972340425532,15.816872340425531,25.120914893617023,45.29571476000822,2.0343936966106453,True,False,True,False,False,unchecked,unchecked
GRASIM,SBILIFE,optics-2,2.462474961537264,-0.4488900652233656,11.356842001006477,0.6225315535546477,0.06481481481481481,False,0.38463540477441904,16.929520663936174,573.7977478250748,15,1.0,1.0,822500.0,660412.5,-0.8029331306990881,0.7887077324813422,True,3800000.0,11.088038753799392,15.324931610942249,24.33959726443769,47.149321460913754,1.684701310144192,True,False,True,False,False,unchecked,unchecked
GRASIM,TATASTEEL,optics-2,8.856407982352712,0.17575379427051824,7.048398584875523,0.9223301444120673,0.09074074074074075,False,0.42930456021337987,56.99328061413168,603.0971762104151,16,1.0,1.0,822500.0,512875.0,0.6235562310030395,2.5478962692735316,True,5400000.0,9.984870820668695,13.800227963525836,21.918009118541036,55.03211290301353,2.177553397905131,True,False,True,False,False,unchecked,unchecked
GRASIM,ULTRACEMCO,optics-2,3.3036021209205093,-0.05535265066570032,8.487265591388036,0.8393860133012399,0.08148148148148149,False,0.42160415899377973,35.90705709202931,620.9378900527706,9,1.0,1.0,822500.0,579450.0,-0.7044984802431611,11.72745698300784,True,9500000.0,10.482665653495442,14.488237082066869,23.010729483282674,53.96942243868304,2.0832507369154056,True,False,True,False,False,unchecked,unchecked
HCLTECH,INFY,optics-3,1.1149003412417182,0.8305047079575721,1.261928019634462,0.6528940686965903,0.06851851851851852,False,0.48926836776309296,21.699312519454562,469.53109135421766,19,2.0,2.0,1052880.0,915200.0,0.8692348605729048,0.04663447689607948,True,100000.0,11.495794392523365,15.888496314869691,25.234670617734213,37.21317376928585,1.5302129709478267,True,False,True,True,False,unchecked,unchecked
HCLTECH,TCS,optics-3,1.9580112507399934,0.8127156478185502,0.8272166939718023,0.4847031528978877,0.05185185185185186,False,0.5136048331377621,20.186254632002825,497.5879422932722,21,2.0,2.0,1052880.0,1053900.0,1.0009687713699567,0.23163467327927775,True,1900000.0,12.305957943925234,17.00823455664463,27.013078413494416,36.84052107476218,0.9957094363265957,True,False,False,False,False,unchecked,unchecked
HCLTECH,TECHM,optics-3,3.109665901885923,1.0103758707356725,-0.14180243428311673,0.9474464468762537,0.09444444444444446,False,0.53436858809107,125.08383267168732,1152.009674239265,1,2.0,1.0,1052880.0,984540.0,0.9350923182129017,0.0745104418100914,True,800000.0,11.900817757009348,16.448284704809666,26.123746295874174,88.19636059788304,-1.3505285220900451,True,False,False,True,False,unchecked,unchecked
HCLTECH,WIPRO,optics-3,2.875895983480527,0.7849670808082887,3.02339534055839,0.41752709036581503,0.040740740740740744,False,0.5624902838040735,27.90905959117975,700.8647035530632,9,2.0,1.0,1052880.0,542850.0,0.5155858217460679,0.3431752307177469,True,1900000.0,9.320852803738317,12.882479484841577,20.460408593571916,68.50935555346193,1.1214801994049728,True,False,False,False,False,unchecked,unchecked
HDFCBANK,ICICIBANK,optics-1,2.9364995217256378,0.9245856140686333,0.10085578726475915,0.9864437926213501,0.09814814814814816,False,0.414067094659892,inf,1077.2140825308818,9,2.0,1.0,936389.9999999999,995960.0,1.0636166554533903,0.15037119253127013,True,2200000.0,12.69124243103835,17.540741571353816,27.85882484862077,77.33377760075994,-2.172574477624353,True,False,True,False,False,unchecked,unchecked
