symbol_a,symbol_b,group,distance,beta,alpha,coint_p,bh_bar,bh_pass,hurst,half_life,sigma_bps,crossings,lots_a,lots_b,notional_a,notional_b,beta_effective,lot_error,lot_size_known,min_notional_for_lot_gate,cost_hard_bps,cost_allin_low_bps,cost_allin_high_bps,cost_coverage,z_today,gate_sigma,gate_half_life,gate_hurst,gate_lot,admitted,mwpl_ban_screen,event_screen
HDFCBANK,KOTAKBANK,optics-1,4.690818216442008,1.6441890780511264,-3.089783376517106,0.6807154050493077,0.07037037037037037,False,0.45097634037534207,25.023285556924435,718.2711466351726,17,2.0,2.0,936389.9999999999,1694800.0,1.8099296233407023,0.1008038232963023,True,2600000.0,17.281067183545318,23.884401798395967,37.93404991509948,37.86946810281219,-3.8466079559551303,True,False,True,False,False,unchecked,unchecked
JSWSTEEL,TATASTEEL,optics-2,1.5120347271463905,0.5561155776732195,4.178437766010712,0.7054236965378128,0.07222222222222223,False,0.4043380515045848,23.08336006901412,345.6497229558119,21,1.0,1.0,901057.5000000001,512875.0,0.5691923101466887,0.023514414985787793,True,100000.0,9.650532707402135,13.338134636246854,21.184096186980298,32.632945007892054,3.198667016356191,True,False,True,True,False,unchecked,unchecked
BAJAJ-AUTO,HEROMOTOCO,optics-0,4.324935189863707,-0.2643771006383845,11.445549643148093,0.8884612034166441,0.0851851851851852,False,0.48431114943241177,46.07002786674602,783.7149594902261,13,1.0,1.0,893250.0,840000.0,-0.9403862300587741,2.5569882103557684,True,5900000.0,11.933375314861461,16.49328295549958,26.195214105793447,59.83649962356263,2.823684392976678,True,False,True,False,False,unchecked,unchecked
BAJAJ-AUTO,M&M,optics-0,7.940580778131541,-0.3724207406657889,12.19909615181672,0.8198012440553637,0.07777777777777778,False,0.47732145207562593,32.60200824531345,757.4991317763905,17,1.0,1.0,893250.0,666800.0,-0.7464875454799889,1.004419904609685,True,1400000.0,10.740898404701932,14.845144136579906,23.577581863979848,64.25587968659703,2.733835055530326,True,False,True,False,False,unchecked,unchecked
BAJAJ-AUTO,MARUTI,optics-0,8.21644223998708,-0.4333712644299243,13.329398805535385,0.4312851473540724,0.04444444444444445,False,0.5017208664239433,24.347582731187174,704.3345703207675,17,1.0,1.0,893250.0,668800.0,-0.7487265603134621,0.7276792943306245,True,4100000.0,10.754668345927792,14.864175762664427,23.60780856423174,59.669627395056644,2.4603282921086924,True,False,False,False,False,unchecked,unchecked
GRASIM,TATASTEEL,optics-2,8.856407982352712,0.17575379427051824,7.048398584875523,0.9223301444120673,0.09074074074074075,False,0.42930456021337987,56.99328061413168,603.0971762104151,16,1.0,1.0,822500.0,512875.0,0.6235562310030395,2.5478962692735316,True,5400000.0,9.984870820668695,13.800227963525836,21.918009118541036,55.03211290301353,2.177553397905131,True,False,True,False,False,unchecked,unchecked
HDFCBANK,ICICIBANK,optics-1,2.9364995217256378,0.9245856140686333,0.10085578726475915,0.9864437926213501,0.09814814814814816,False,0.414067094659892,inf,1077.2140825308818,9,2.0,1.0,936389.9999999999,995960.0,1.0636166554533903,0.15037119253127013,True,2200000.0,12.69124243103835,17.540741571353816,27.85882484862077,77.33377760075994,-2.172574477624353,True,False,True,False,False,unchecked,unchecked
GRASIM,ULTRACEMCO,optics-2,3.3036021209205093,-0.05535265066570032,8.487265591388036,0.8393860133012399,0.08148148148148149,False,0.42160415899377973,35.90705709202931,620.9378900527706,9,1.0,1.0,822500.0,579450.0,-0.7044984802431611,11.72745698300784,True,9500000.0,10.482665653495442,14.488237082066869,23.010729483282674,53.96942243868304,2.0832507369154056,True,False,True,False,False,unchecked,unchecked
HINDALCO,TATASTEEL,optics-2,5.344262560138666,1.224244380472086,0.4067344878765726,0.7886805414369276,0.07592592592592594,False,0.441916937960053,29.341869452686534,657.4649114950292,11,1.0,2.0,726180.0000000001,1025750.0,1.4125285741827094,0.15379624911001707,True,1900000.0,14.837050731223664,20.50649288055303,32.569135751466575,40.373494495654455,2.081644335914155,True,False,True,False,False,unchecked,unchecked
GRASIM,LT,optics-2,2.1297799996870443,0.48229530304895923,3.9772269966690135,0.900135264908317,0.0888888888888889,False,0.419227082431823,51.453039835437586,568.9348977658594,6,1.0,1.0,822500.0,708015.0,0.8608085106382979,0.7848162841239916,True,3800000.0,11.443972340425532,15.816872340425531,25.120914893617023,45.29571476000822,2.0343936966106453,True,False,True,False,False,unchecked,unchecked
