symbol_a,symbol_b,beta,coint_p,half_life,sigma_bps,hurst,pair,sessions,beta_pre_cas,coint_p_pre_cas,half_life_pre_cas,sigma_bps_pre_cas,hurst_pre_cas
NMDC,SAIL,0.47702475835374497,0.0023936379250062067,4.999261588070023,262.52671461019804,0.34711911436621723,NMDC/SAIL,232,0.4814641983846106,0.0042050775926900106,5.083145260488092,268.4864607955907,0.35263067326248976
HINDALCO,VEDL,0.5639973587203364,0.006284016339985985,6.5412195262570805,313.8099712157414,0.33008362831440274,HINDALCO/VEDL,232,0.5523322246662424,0.000948170078028141,5.170985506207528,279.58590725034213,0.30616446729954166
LICHSGFIN,UNIONBANK,-0.2540037885452661,0.006892093927834278,5.435123581670114,369.01365903745716,0.366792969793326,LICHSGFIN/UNIONBANK,232,-0.22703489128958695,0.006179584044880716,5.179585479181145,363.4837502646217,0.3542969908035745
EICHERMOT,TVSMOTOR,0.6674243826600377,0.007087429785045441,7.864779732012581,372.4741087827144,0.41325566904774497,EICHERMOT/TVSMOTOR,232,0.7876856081831657,0.020591510944776282,8.040668806659857,375.32875648609973,0.3767322775740224
ALKEM,APOLLOHOSP,-0.06233768501282453,0.007438611406374305,5.686108165615349,274.69945185420545,0.2726078536445221,ALKEM/APOLLOHOSP,232,-0.07388224221043325,0.019819200360129515,5.9212358363040325,277.8357272793311,0.2650267348111557
NMDC,VEDL,0.2940989520652738,0.007886004631237759,5.887626293852342,320.1047621842968,0.35098847035641917,NMDC/VEDL,232,0.29310272267734794,0.013536092344857618,6.006309910429,329.5983192788343,0.35508627674389515
ALKEM,MANKIND,-0.02138207168037059,0.01046841060232715,5.944462295936,278.1293928364214,0.280010165275335,ALKEM/MANKIND,232,-0.02280627477038393,0.022249991706248647,6.160003779724939,282.01181179895065,0.2738203622380907
INDIANB,LICHSGFIN,-0.8362183670541309,0.011129492884366933,9.092325862842937,798.3718256853695,0.4367390213201604,INDIANB/LICHSGFIN,232,-0.8617605928795116,0.014659417444185892,9.02357668098615,822.5278218506572,0.4376074704869645
ALKEM,FORTIS,0.022645890295400425,0.013419873260609361,6.192513987457379,278.2287903353037,0.2775942901644259,ALKEM/FORTIS,232,0.019301263257827318,0.026970547623678367,6.413034436349197,282.2884192596398,0.2720945982429719
HINDALCO,NMDC,1.6187392167090933,0.013844103413453433,6.088066056563276,489.5494695234389,0.30241015360904266,HINDALCO/NMDC,232,1.581553736856208,0.01261872106593469,5.818320613601154,474.63227767014394,0.29760981989359037
